NUMERO RNA,NOM,OBJET,DATE DE RECONNAISSANCE D'UTILITE PUBLIQUE,DATE DE DERNIERE MODIFICATION STATUTAIRE,"ADRESSE
SIEGE SOCIAL",CP,VILLE
,FEDERATION  FRANCAISE DES EQUIPES SAINT-VINCENT,"Coordonner et de promouvoir les activités des associations dites ""équipes Saint-Vincent"" agis avec tous ceux qui vivent des situations de souffrance, de pauvreté, d'injustice, de violence, contre toutes les formes de détresses  matérielles.",19/07/1935,07/01/1998,"67, rue de Sèvres",75006,PARIS
,FEDERATION  FRANCAISE DES MAISONS DES JEUNES ET DE LA CULTURE (FFMJC),"- susciter, coordonner l'action éducative, récréative, sportive, culturelle et civique de ses associations membres et d'assurer d'une façon plus générale, le développement de l'éducation populaire permanente ;
- définir les principes fondamentaux de l'action éducative et d'en contrôler l'application ;
- représenter l'ensemble des MJC regroupées en fédérations régionales, d'établir et de développer des relations avec les organismes similaires en France et à l'étranger ;
- promouvoir en permanence une recherche appliquée aux besoins, aux méthodes et aux moyens éducatifs.",20/07/2006,,"16, rue Hermel",75018,PARIS
,FEDERATION  FRANCAISE DES MEDAILLES DE LA JEUNESSE ET DES SPORTS (FFMJS),"Grouper tous les médaillés de l'éducation physique et des sports, maintenir et développer entre eux les liens de solidarité et d'amitié sportives.",09/07/1958,19/07/2007,"33, rue Saint-Augustin",75008,PARIS
,FEDERATION  FRANCAISE DES SOCIETES DE SCIENCES NATURELLES,Grouper les sociétés  de sciences naturelles et unir leurs efforts en vue d'une action commune pour le progrès de ces sciences.,30/06/1926,28/03/1975,57 rue Cuvier,75231,PARIS CEDEX 05
,FEDERATION  FRANCAISE DES VEHICULES D'EPOQUE (FFVE),"La Fédération Française des Véhicules d’Époque dite ""FFVE"" fondée en 1967 sous le nom de FEDERATION  Française des Automobiles d’Époque (FFAE) a pour but d'encourager, de coordonner de développer en France le mouvement ...",09/02/2009,,"8, place de la Concorde",75008,PARIS
,FEDERATION  FRANCAISE POUR LE DON DE SANG BENEVOLE (FFDSB),"Susciter le don, volontaire et bénévole du sang dans toute la population, de faire respecter le code du donneur de sang",07/04/1961,07/03/2014,68 Bd Richard Lenoir,75011,PARIS
,FEDERATION  INTERNATIONALE DES ASSOCIATIONS DE PERSONNES AGEES (FIAPA),"La FEDERATION , prolongement au niveau international des mouvements associatifs locaux, sectoriels et nationaux de personnes âgées, a pour objet de promouvoir leur intégration dans une société intergénérationnelle solidaire et harmonieuse.",06/12/2006,,"18, rue des Terres au Curé",75013,PARIS
,FEDERATION  NATIONALE  - V.M.E.H.,"Elle a pour objet : fédérer les associations départementales-veiller au respect de l'esprit VMEH -elle demande aux associations départ. de respecter l'éthique du mouvement national qui est bénévole, apolitique et non confessionnel,",09/01/2007,28/11/2011,"8 bis, avenue René Coty",75014,PARIS
,FEDERATION  NATIONALE  COMPAGNONNIQUE DES METIERS DU BATIMENT,"Réunir, aider et promouvoir les Sociétés Compagnonniques adhérentes, dont les membres sont groupés en FEDERATION  locales, mettre en commun les moyens techniques de perfectionnement professionnel, intellectuel, culturel et moral de l'ensemble du Tour de F",04/09/2002,,"7, rue Petit",75019,PARIS
,FEDERATION  NATIONALE DE PROTECTION CIVILE (FNPC),Mettre en œuvre tous les moyens dont elle dispose en vue d'assurer la protection des populations civiles contre les dangers en temps de paix comme en temps de crise.,14/11/1969,"05/12/2019
15/04/2021",,92200,ASNIERES
,FEDERATION  NATIONALE DES ACCIDENTES DU TRAVAIL ET DES HANDICAPES (FNATH),"Oeuvrer, au plan national et européen à l’amélioration du sort des accidentés de vie (victimes d’accidents du travail , de la route, de maladies professionnelles, de catastrophes naturelles ou industrielles, d’accidents médicaux ou domestiques, d’agressions ou d’actes de terrorisme…), ainsi que du sort de toutes personnes handicapées, invalides ou malades et leurs ayants droit.",02/08/2005,23/04/2013,"47, rue des Alliés",42030,SAINT-ETIENNE CEDEX 2
,FEDERATION  NATIONALE DES ADEPAPE (FNADEPAPE),"Grouper, coordonner et stimuler, toutes les activités qui se manifestent en faveur des pupilles et anciens pupilles de l’État",09/08/1979,12/03/2010,"47, rue Pasteur",54510,TOMBLAINE
,FEDERATION  NATIONALE DES AMICALES DE CHASSEURS A PIED ALPINS ET MECANISES,Maintenir et développer la solidarité et les traditions chasseurs.,23/12/1966,16/02/1998,"11, rue de Nogent",94302,VINCENNES CEDEX
,FEDERATION  NATIONALE DES ANCIENS COMBATTANTS RESIDANT HORS DE FRANCE,Consacrer à l'étude des questions intéressant notamment les victimes de guerre de proposer et soutenir toutes solutions en vue de l'amélioration de leur sort.,17/01/1978,12/01/1996,"23, rue de Vienne",75005,PARIS CEDEX  08
,FEDERATION  NATIONALE DES ASSOCIATIONS D' ELEVES EN GRANDES ECOLES,"L'étude, la définition et la promotion des intérêts légitimes des étudiants en grande écoles",25/09/1967,,"18, rue Dauphiné",75016,PARIS
,FEDERATION  NATIONALE DES ASSOCIATIONS DE PARENTS D'ELEVES DES INSTITUTIONS DE DEFICIENTS AUDITIFS,Le regroupement des parents et leur information sur tous les problèmes concernant l'éducation de leur enfant et son avenir professionnel.,08/02/1977,,"103, rue Faubourg Saint-Honoré",75008,PARIS
,FEDERATION  NATIONALE DES ASSOCIATIONS DE PARENTS D'ENFANTS DEFICIENTS VISUELS ET DE LEURS AMIS (F.N.D.V.),Rechercher les meilleures mesures à prendre en tous domaines dans l'intérêt général des enfants déficients visuels et en poursuivre la mise en œuvre.,13/08/1985,08/01/2000,"28, place Saint-Georges",75009,PARIS
,FEDERATION  NATIONALE DES ASSOCIATIONS DEPARTEMENTALES AGREEES DE PECHEURS AMATEURS AUX ENGINS ET AUX FILETS SUR LES EAUX DU DOMAINE PUBLIC ET DE PROTECTION DE LA NATURE ET DU MILIEU AQUATIQUE,"‘- regrouper toutes les associations départementales agréées de pêcheurs amateurs aux engins et aux filets sur les eaux du domaine public constitutés selon les dispositions de l'art. R.*234-22 du code rural et de l'arrêté du 09/12/1997 J.O. du 30/12/1997 ; ci-après désignées sous le nom de ""Associations""
- de défendre les intérêts des associations adhérentes à la fédération et de leurs adhérents
- promouvoir toutes actions en vue de l'amélioration des conditions de pêche sur les eaux du domaine public et des droits de pêche détenus par les associations adhérentes
- participer à la gestion et à la protection du patrimoine piscicole et des milieux aquatiques
- promouvoir la pérennité de leur mode de pêche, par la création d'écoles de pêche patrimoniales, traditionnelles et la formation",05/01/2004,,Clermont-sur-Loire,44850,LE CELLIER
,FEDERATION  NATIONALE DES CENTRES DE LUTTE CONTRE LE CANCER,"La FNCLCC a pour mission de défendre les intérêts des Centres, en particulier auprès des ministères de tutelle, et de développer avec eux des projets en vue d'améliorer la prise en charge des malades et promouvoir la recherche.",07/06/2004,,"101, rue de Tolbiac",75013,PARIS
,FEDERATION  NATIONALE DES COMBATTANTS VOLONTAIRES (FNCV),"Grouper en tous lieux les combattants volontaires des deux sexes, de nationalité française ou étrangère ayant combattu au service de la France.",29/03/1960,17/05/2011,"9, rue de Mazagran",75010,PARIS
,FEDERATION  NATIONALE DES ECOLES DES PARENTS ET DES EDUCATEURS (FNEPE),"Aider à la création et au développement sur le territoire national d'un réseau d'associations  dites ""Écoles des Parents et des Éducateurs"" afin de répondre aux besoins de l'ensemble de la population.",09/03/1982,19/10/2011,"5, Impasse Bon-Secours",75011,PARIS
,FEDERATION  NATIONALE DES FRANCAS,Regrouper les personnes morales et physiques qui se proposent de promouvoir des loisirs éducatifs ou de recruter des animateurs . Promouvoir la place des enfants ds la société en accord avec la convention internationale  des droits de l'enfant.,13/11/1991,13/03/2003,"10-14, rue Tolain",75020,PARIS
,FEDERATION  NATIONALE DES JARDINS FAMILAUX ET COLLECTIFS (FNJFC),"Étudier, susciter, réaliser toutes les initiatives tendant à servir et à consolider la famille en l'établissant sur sa base naturelle ""la terre et le foyer"".",03/08/1909,19/02/2007,"12, rue Félix Faure",75008,PARIS
,FEDERATION  NATIONALE DES MILITAIRES BELGES MUTILES ET INVALIDES DE GUERRE,"Maintenir et resserrer les liens de camaraderie entre les membres , aider moralement et matériellement ses membres résidant d'une façon permanente en France.",20/08/1927,,"12, rue des Nonnains-d'Hyères",75008,PARIS
,FEDERATION  NATIONALE DES PRISONNIERS DE GUERRE,"Réintégration des anciens prisonniers de guerre dans la vie civile, professionnelle, et familiale.",01/04/1948,,"46, rue Copernic",75116,PARIS
,FEDERATION  NATIONALE DES RADIOAMATEURS AU SERVICE DE LA SECURITE CIVILE (FNRASEC),"L'association a pour objet : de réunir les associations existantes désireuses dans le cadre de leurs compétences, d'apporter leur concours aux actions menées par la Sécurité Civile, sur sa demande explicite et sous son autorité.",15/10/2012,,14 rue de Miromesnil (COGIC),75008,PARIS
,FEDERATION  NATIONALE DES SOURDS DE France (F.N.S.F.),Grouper dans un but principalement social les sourds de France afin de coordonner leurs efforts pour le bien général de la communauté du déficient auditif.,24/09/1982,16/02/2018,"254, rue Saint-Jacques",75005,PARIS
,FEDERATION  NATIONALE DESCOMPAGNIES D'EXPERTS DE JUSTICE,"Contribuer, dans le cadre de l'intérêt général, au service public de la justice par les actions suivantes : apporter son concours à l'élaboration des textes législatifs et réglementaires afin d'améliorer les conditions...",31/03/2008,,"10, rue du Débarcadère",75017,PARIS
,FEDERATION  NATIONALE FAMILLES RURALES,"Soutenir le rassemblement et la mise en réseau des associations, regroupements et fédérations Familles Rurales implantées sur le territoire français, de défendre les intérêts matériels et moraux des familles et personnes qu'elles rassemblent, et de coordonner l'action du Mouvement à l'échelle nationale.",18/02/2008,24/03/2016,"7, Cité d'Antin",75009,PARIS
,FEDERATION  NATIONALE GENERATIONS MOUVEMENT,"Dans le but de favoriser le bien vieillir, les Aînés Ruraux - Fédération nationale a pour objet notamment de : participer activement au choix de société et de contribuer à l'expression des citoyens, notamment âgés...",27/02/2008,26/12/2012,"60, rue de Londres",75008,PARIS
,FEDERATION  NATIONALE OIE ET SANTE - ALCOOL ECOUTE FNJS,"Représenter auprès des services publics, semi-publics, auprès des organismes médico-sociaux des association familiales.",24/07/1979,21/11/2003,"2, rue André Messager
BP 5",75015,PARIS CEDEX 18
,FEDERATION  NATIONALE POUR L' INSERTION DES PERSONNES SOURDES ET DES PERSONNES AVEUGLES EN FRANCE (FISAF),"Promouvoir les réponses adaptés, indispensables à l'éducation, aux soins et à l'insertion des personnes déficients sensorielles.",01/07/2003,22/02/2011,"15, rue Mayet",75010,PARIS
,FEDERATION AFS VIVRE SANS FRONTIERE (AFS-VSF),"Réaliser des échanges à caractère éducatif entre la France et tous les autres pays ; promouvoir par tous les moyens et notamment les échanges, la découverte des cultures différentes, tant entre les nations qu’au sein de chaque nation ; Coopérer avec les institutions d’éducation et de formation existantes, qu’elles relèvent du milieu scolaire, familial, professionnel ou des associations de jeunesse et d’éducation populaire afin de créer des situations éducatives nouvelles ; Préparer et assurer le suivi des expériences individuelles ou de groupe qui s’y déroulent et d’animer les activités pédagogiques et de loisirs propres à la Fédération ; Rassembler en France l’ensemble des personnes qui ont, à un titre ou à un autre, été associées à ces expériences et ces activités ou qui s’intéressent à leur multiplication et à l’amélioration de leur contenu ; Contribuer à l’élaboration d’une pédagogie des échanges interculturels, tant par la pratique que par la recherche ainsi que par une collaboration avec les pouvoirs publics.",17/09/1965,"17/07/2008
09/10/2018",8 Quai de Bir Hakeim,94410,SAINT MAURICE
,FEDERATION ANEF,"- assurer un lien permanent entre ses membres
- réunir, conforter, animer et coordonner les actions des associations adhérentes pour les aider à poursuivre leurs missions
- assurer la représentation des associations adhérentes auprès des pouvoirs publics et auprès des organisations nationales et internationales ayant la même vocation pour toutes les questions présentant un intérêt commun ou ayant un lien avec les objectifs statutaires des associations adhérentes
- rechercher, susciter, encourager la création d'associations concourant à l'objet énoncé à l'art. 1 des présents statuts et les conseiller dans leur développement
- promouvoir toute initiative et conduire toute action permettant de faire naître des synergies propres à assurer le rayonnement de la fédération dans le respect de la charte de l'ANEF.",02/04/1968,23/07/2008,"61, rue de la Verrerie",75004,PARIS
,"FEDERATION DEPARTEMENTALE
DE L'YONNE DES OEUVRES COMPLEMENTAIRES
DE L'ECOLE PUBLIQUE (FOCEPY) - YONNE",Fédérer toutes les associations constituées dans les écoles publiques du département de l'Yonne et créer entre elles une union constante et féconde des efforts dirigés vers le même but.,29/03/1954,17/06/1986,"62, bis rue Guynemer",89200,AUXERRE CEDEX
,FEDERATION DES  AMIS DES CHEMINS DE FER SECONDAIRES OU FACS,"Rassembler les personnes physiques ou morales  s’intéressant aux chemins de fer, permettre à tous l’accès à la connaissance de ce moyen de transport dans l’ensemble de ses incidences historiques, économiques et sociologiques, encourager les jeunes à s’intéresser au chemin de fer  en leur transmettant le savoir faire et les ‘’ gestes de métier’’ en voie d’oubli.",23/11/2017,,Place du 11 Novembre,75010,PARIS
,FEDERATION DES AMPUTES DE GUERRE DE FRANCE,Grouper sous  la forme fédérative tous les groupements composés uniquement d'amputés de jambe et de bras bénéficiaires d'une pension militaire d'invalidité ou d'une pension d'invalidité servie au titre de victime de la guerre.,09/08/1950,05/03/2008,"74, boulevard Haussmann",75008,PARIS
,"FÉDÉRATION DES ASSOCIATIONS JALMALV ET ASSOCIÉES, JUSQU’A LA MORT, ACCOMPAGNER LA VIE","Accompagner les personnes gravement malades et les personnes en fin de vie dans les établissements sanitaires et médicaux sociaux, notamment les établissements de soins, les structures dédiées aux soins palliatifs, les EHPAD, le domicile ; Apporter un soutien aux familles , aux aidants, aux accompagnants bénévoles, aux personnes endeuillées ainsi qu’aux soignants ; Favorisser le développement des soins palliatifs ; Contribuer à faire évoluer les mentalités face à la mort, la fin de vie et le grand âge ; Promouvoir une recherche sur les besoins des personnes malades ou en fin de vie.",26/03/1993,"02/06/2015
28/07/2020","76, rue des
Saints-Pères",75007,PARIS
,"FEDERATION DES ASSOCIATIONS
DE CONJOINTS SURVIVANTS
ET DE PARENTS D'ORPHELINS (FAVEC)","Regrouper des associations ayant pour but de réunir les familles frappées par le décès du conjoint, d’assurer la coordination de leurs actions, et de les représenter auprès des pouvoirs publics.",11/12/1956,04/03/2016,"28, place Saint-Georges",75009,PARIS
,"FEDERATION DES ASSOCIATIONS
DE MARINS ET MARINS ANCIENS COMBATTANTS (FAMMAC)","Créer un lien plus étroit entre les associations adhérentes, coordonner leurs efforts tout en leur laissant pour leur organisation intérieure l'autonomie la plus entière sans contrôle financier.",25/11/1950,18/12/1987,"15, rue de Laborde
CC 19",75009,PARIS CEDEX 08
,FEDERATION DES AVEUGLES ET AMBLYOPES DE FRANCE -FAF,"Améliorer la condition morale, intellectuelle et sociale de tous les aveugles et handicapés visuels français ou résidant en France.",27/08/1921,22/12/2014,"6, rue Gager-Gabillot",75006,PARIS
,FEDERATION DES CENTRES SOCIAUX ET SOCIO-CULTURELS  DE FRANCE ou FCSF,Grouper les centres sociaux et socio-culturels par l'intermédiaire de leurs groupements fédératifs.,08/04/1931,08/11/2016,"10, rue Montcalm
BP 379",75782,PARIS CEDEX 18
,"FEDERATION DES CONSEILS
DES PARENTS D'ELEVES
DES ECOLES PUBLIQUES (FCPE)","Regrouper des parents d’enfants et de jeunes des établissements publics d’éducation et de formuler en leur nom des vœux concernant leurs intérêts, de coordonner sur le plan national l’activité des comités départementaux et de les représenter auprès des pouvoirs publics, et d’apporter aide et soutien aux parents d’élèves des établissements publics et aux élèves qui les fréquentent.",07/08/1951,24/12/2015,"108/110, avenue Ledru Rollin",75013,PARIS CEDEX 11
,FEDERATION DES DELEGUES DEPARTEMENTAUX DE L'EDUCATION NATIONALE,Resserrer les liens d'estime et de fraternité entre les délégués départementaux de l'éducation Nationale.,07/06/1979,,"110, rue de Grenelle",75013,PARIS
,FEDERATION DES MALADIES ORPHELINES,"La FEDERATION  a pour objet la lutte par tous les moyens contre les maladies rares, dites orphelines, et le soutien à toutes personnes qui en souffrent.",20/01/2006,,,75007,PARIS
,FEDERATION DES OEUVRES LAIQUES DE SAONE-ET-LOIRE,"Favoriser la propagation de l'instruction laïque, de l'éducation populaire, et la création du patronage scolaire et post-scolaire. Provoquer et  coordonner toutes les initiatives individuelles ou collectives pour la propagation de l'instruction laïque.",16/07/1956,09/06/1993,"63, rue de Strasbourg",71017,MACON CEDEX
,FEDERATION DES SECOURISTES FRANCAIS CROIX-BLANCHE,Répandre dans le public les notions des premiers soins à donner aux malades et blessés tant sur la voie publique qu'à l'atelier ou à la maison.,03/03/1898,"16/11/2007
02/12/2020
","103, rue de Paris",77450,TORCY
,FEDERATION ESCOLA GASTON FEBUS,"L'étude et le développement de la langue et de la littérature gasconnes et, en général, l'étude et la vulgarisation de l'histoire.",23/07/1980,29/06/2004,"46, boulevard Alsace-Lorraine",64000,OSTAN-BIARNES
,FEDERATION FRANCAISE DE GENEALOGIE,"Regrouper les associations qui ont pour objet les études généalogistes, les recherches sur l’histoire des familles et des lieux, les sciences de l’histoire, l’héraldique, la sigillographie, l’onomastique et toutes activités susceptibles d’aider au développement de la recherche généalogique.",21/04/2017,,TOUR ESSOR 93                                                   - 14 Rue Scandicci,93508,PANTIN
,FEDERATION FRANCAISE DES ASSOCIATIONS D’INFIRMES MOTEURS CEREBRAUX,"Unir, fédérer et promouvoir les associations d'aide aux infirmes moteurs cérébraux en vue de coordonner leur action et de leur venir en aide pour la réalisation de leur propre objet.",19/05/1992,,"68, bd de Port Royal",75005,PARIS
,FEDERATION FRANCAISE DES DIABETIQUES OU AFD,"Améliorer le sort des diabétiques avec tout ce qui s'y rapporte directement ou indirectement. Elle est indépendante de tout mouvement politique, philosophique ou religieux.",07/12/1976,24/12/2015,"88, rue de la Roquette",75011,PARIS
,"FEDERATION FRANCAISE POUR
LE DON D'ORGANES ET DE TISSUS HUMAINS (FRANCE ADOT)",Susciter et  promouvoir l'information en vue des prélèvements d'organes et de tissus humains et  favoriser ainsi l'esprit de solidarité et de fraternité humaines.,13/02/1978,"17/09/2008
20/10/2020","1, avenue Claude Vellefaux",75016,PARIS
,"FEDERATION FRANCAISE
DE CARDIOLOGIE","Informer, éduquer le public en vue de la prévention des maladies cardio-vasculaires, apporter une aide à la réadaptation et la réinsertion des cardiaques.",22/12/1977,01/06/2006,"50, rue du Rocher",75017,PARIS
,"FEDERATION FRANCAISE
MAITRES NAGEURS-SAUVETEURS",Développer la pratique des sports nautiques et grouper les associations d'enseignants de la natation et du sauvetage titulaires du diplome de maître-nageur sauveteur en vue de l'étude des problèmes relatifs à l'équipement sportif et à la sécurité.,14/12/1956,11/07/2002,"23, rue de la Sourdière",75001,PARIS
,"FEDERATION GENERALE DES PEP
(FG PEP)",Assistance matérielle et protection des enfants et adolescents fréquentant ou ayant fréquenté des établissements d'enseignement public.,16/08/1919,10/11/2016,5-7 rue Georges Enesco,94026,CRETEIL CEDEX
W332014309,FEDERATION GIRONDINE DE LUTTE CONTRE LES MALADIES RESPIRATOIRES,"Lutter contre la tuberculose et les maladies respiratoires dans le domaine de la prophylaxie, du traitement et de la réadaptation.",05/01/1921,18/09/2017,"73, avenue de Magellan,",33000,PESSAC
,FEDERATION JUMEAUX ET PLUS,"Entraide morale, matérielle et financière envers les associations adhérentes et leurs membres; l'information des parents d'enfants issus de naissance multiple ; la défense de leurs intérêts auprès des pouvoirs publics ;",23/07/2003,,"28, Place Saint-Georges",75009,PARIS
,FEDERATION LEO LAGRANGE,Tendre la culture et organiser les loisirs favoriser le rapprochement des hommes dans un esprit de compréhension réciproque et d'amitié fraternelle.,08/01/1958,23/08/2011,150 rue des Poissonniers,75018,PARIS
W294000243,FEDERATION LEUCEMIE ESPOIR (FLE),Soutenir des enfants et des adultes atteints de maladies du sang et leur famille.,13/10/2008,,"37, rue Paul Valéry",29000,QUIMPER
,FEDERATION MEDICO-SOCIALE DES VOSGES,La création et la gestion d'établissements et de services sociaux et médico-sociaux.,11/04/1923,16/10/2008,"6, rue Gilbert - B.P. 402",88000,EPINAL CEDEX
,FEDERATION MYCOLOGIQUE ET BOTANIQUE DAUPHINE-SAVOIE,Enseignement et vulgarisation des connaissances mycologiques et botaniques.,24/04/1972,11/01/2008,"1, place Jean-Jaurès",74100,ANNEMASSE
,"FEDERATION NATIONALE COUPLES
ET FAMILLES",Coordonner et développer toutes initiatives et recherches pour la promotion et l'éducation du couple.,06/01/1975,12/06/2002,"28, place Saint-Georges",75002,PARIS
,"FEDERATION NATIONALE DES ASSOCIATIONS SPORTIVES,
CULTURELLES ET D'ENTRAIDE (FNASCE)","Promotion du sport et de la culture  par différents moyens tels que l’organisation de manifestations sur l’ensemble du territoire national, la pratique du développement durable dans ses actions et dans celles des 116 associations qu’elle regroupe. Les adhérents des associations fédérées sont les personnels du ministère de l’écologie et leurs ayants droits mais la fédération a ouvert son action en organisant des manifestations nationales impliquant un large public.",20/08/2015,,,,
,"FEDERATION NATIONALE
ANDRE MAGINOT
DES ANCIENS COMBATTANTS","Entraide au profit des membres des familles des disparus et souvenir des disparus. Perpétuer le souvenir des aînés disparus, organiser des services d'entraide au bénéfice de ses adhérents et de leur famille.",28/05/1933,29/04/2008,24bis boulevard Saint-Germain,75005,PARIS
,"FEDERATION NATIONALE
D' ENTRAIDE PARACHUTISTE MILITAIRE","Venir en aide aux personnels ayant appartenu, ou appartenant aux troupes aéroportées (ou à un organisme officiel de préparation militaire parachutiste) ainsi qu'à leurs familles (conjoint, ascendants, enfants ou tout ayant-cause).",10/02/1976,28/04/2005,"10, rue Lebouis",75006,PARIS
,"FEDERATION NATIONALE
DE SAUVEGARDE DES SITES
ET ENSEMBLES MONUMENTAUX - FNASSEM",,11/01/1983,01/07/2012,20 rue du Borrégo,75020,PARIS
W133005919,"FEDERATION NATIONALE
DES GROUPEMENTS DES ENTREPRISES FRANCAISES DANS LA LUTTE CONTRE LE CANCER (FEGEFLUC)",Contribuer dans toute la mesure de ses moyens intellectuels moraux et financiers à la lutte entreprise contre le cancer.,18/04/1978,02/03/2000,30 rue Montgrand,13006,MARSEILLE
,"FEDERATION NATIONALE
FAMILLES DE FRANCE","Valoriser le projet familial des hommes et des femmes inspirés par une ferme volonté d’engagement durable, de respect, de dialogue et de fidélité tant à l’intérieur du couple, qu’entre tous les membres de la famille ; Oeuvrer pour que les parents puissent accueillir et élever le nombre d’enfants qu’ils désirent ; et d’une manière général, de faire respecter les droits moraux et matériels des familles adhérentes ; Susciter les actions propres à assurer l’équilibre, la stabilité et le développement des familles par l’adoption d’une politique au service de toutes les familles ayant pour fondement la liberté éducative et économique ainsi que la justice, notamment en matière de retraite ; Promouvoir la mise en œuvre de solidarités économiques, sociales et intergénérationnelles de nature à permettre à toutes les familles d’exercer véritablement leurs responsabilités dans tous les domaines ; de permettre ou faciliter l’expression des jeunes en vue de leur insertion et de leur épanouissement dans la vie familiale, économique et sociale ; de développer toute forme d’éducation populaire et permanente, toutes les activités culturelles et sportives en faveur de tous les membres de la famille ; d’assurer, de gérer ou de participer à la gestion de tout service d’intérêt familial ; de représenter et défendre les familles et leurs membres, notamment en tant que consommateurs, locataires, propriétaires, usagers, assurés sociaux, titulaires d’allocations ou de pensions, et d’exercer tous les droits des organisations de consommateurs tels que définis par la loi.",14/05/1935,18/03/1998,"28, place St-Georges",75475,PARIS
,FEDERATION UNIVERSITE SANS FRONTIERE (U.S.F),"Promouvoir, diffuser l'enseignement des techniques, la recherche universitaire, adaptés aux besoins locaux, pédagogiques, technologiques, culturels et sociaux, dans les universités, les établissements d'éducation ou les collectivités qui le demandent.",04/12/2000,,,86000,POITIERS
,"FEDERATION
COLOMBOPHILE FRANCAISE","Grouper les amateurs, assurer la formation des jeunes et nouveaux colombophiles, organisation de concours, amélioration du sport, amélioration de la race du pigeon voyageur, opposition à toute détention illicite et à la destruction des pigeons.",17/04/1930,05/04/2005,54 Boulevard Carnot,59000,LILLE
,"FETES VERSAILLAISES
SYNDICAT D'INITIATIVE","Apporter à l'État son concours pour la sauvegarde du domaine de Versailles et pour l'accroissement des richesses artistiques qui y sont contenues,",02/01/1930,21/05/1953,"7, rue des Réservoirs",78129,VERSAILLES
,FOI ET VIE,Action sociale de bienfaisance.,24/07/1925,24/05/2004,"47, rue de Clichy",75009,PARIS
,FONDA,LA FONDA est une association de personnes dont le projet commun est de se réunir pour analyser les mutations socio-économiques en cours et comprendre leurs impacts sur les associations.,08/11/2010,,"18, rue de Varenne",75009,PARIS
,"FONDATION FRACHEBOIS 1887 ORPHELINAT DE GARCONS POUR PARIS ET LE DEPARTEMENT
DE LA SEINE","Recevoir les jeunes garçons pauvres ou abandonnés âgés de six ans au moins, de nationalité française, leur assurer la nourriture, l'entretien, les soins hygiéniques, l'éducation  physique et morale.",05/04/1923,02/12/1930,"5, rue Félix FAURE",94000,CRETEIL
,FONDS ARMENIEN DE FRANCE,"Participer et contribuer, sous toutes les formes appropriées d'assistance, à la conception et/ou à la réalisation concertées de projets, notamment des actions de développement socio-économique, sanitaire, scientifique, scolaire ou d'enseignement, à finalité humanitaire, et plus généralement toutes actions de bienfaisance tendant à assurer les besoins vitaux de l'Arménie et des communautés arméniennes, l'ensemble de ces actions pouvant s'étendre aux communautés arméniennes de France ou de tout autre pays. Dans le cadre de ses actions, le Fonds Arménien de France favorise le rayonnement de la France.",16/03/2015,,"5, avenue Reille",75014,PARIS
,FONDS FRANCAIS POUR LA NATURE ET L'ENVIRONNEMENT,"Promouvoir, encourager et assurer chez les adultes et chez les jeunes tant en France que dans toutes les parties du monde toutes actions concourant à la conservation de la faune, de la flore, des sites,  des eaux,  des sols et  ressources naturelles.",01/02/1971,23/06/1992,"15, avenue de Ségur",75007,PARIS
,FONDS LORRAIN D'AIDE MEDICALE ET SOCIALE AUX ENFANTS BLEUS ET AUX INVALIDES CARDIAQUES,Venir en aide aux personnes atteintes de malformations congénitales plus particulièrement cardiaques. Cette association semble avoir cessé toute activité.,09/12/1963,,"3, rue Maurice barrès",54000,NANCY
,FONDS SOCIAL JUIF UNIFIE (FSJU),Contribuer au maintien et au développement de la vie juive en France ; favoriser les rapports de la communauté juive avec Israël et participer au développement des relations avec les communautés juives dans le monde.,09/01/1985,,"39, rue Broca",75005,PARIS
,FOYER CLAIREFONTAINE DES SOURDS ADULTES,"Le fonctionnement matériel des œuvres exerçant une activité charitable éducative, social, sanitaire, culturelle et principalement l'accueil des sourds-muets en mettant notamment à leur disposition les immeubles nécessaires.",15/01/1859,13/04/1978,11 Impasse des Jardins,69009,LYON
W344001760,FOYER DE LA JEUNE FILLE,"Assurer l’hébergement ety la restauration des jeunes isolés ; Favoriser l’insertion sociale et professionnelle des jeunes par toutes actions appropriées dans les domaines de la formation, de l’emploi, du logement, de la culture et des loisirs ; Rechercher par l’ouverture sur le monde extérieur, toute collaboration utile avec les institutions sociales, socio-éducatives ou autres, susceptibles de lui faciliter l’accomplissement de ses actions au service des jeunes.",05/07/1930,28/08/2002,"3, rue de la vieille",34000,MONTPELLIER
W263007601,FOYER DE LA JEUNE FILLE DE VALENCE,"Offrir aux jeunes filles isolées, un foyer familial où elles trouvent, avec le logement et la nourriture, un milieu moral sain et une direction maternelle.",07/05/1931,,"7, rue Vernoux",26000,VALENCE
,FOYER DE L'EDIT DE NANTES HABITAT JEUNES,Favoriser l'insertion des jeunes et promouvoir leur autonomie.,21/07/1937,18/12/2008,1 rue de Gigant,44100,NANTES
,FOYER DES ISRAELITES REFUGIES,Porter protection et aide aux Israélites réfugiés en France.,03/04/1958,19/02/2007,"5, rue de Varize",75016,PARIS
W381017238,FOYER ETUDIANT - RESIDENCE INTERNATIONALE,"Administrer et animer un foyer destiné à recevoir des étudiantes, des étudiants et des stagiaires français et étrangers ;",17/08/1923,10/11/2003,,38000,GRENOBLE
,FOYER FEMININ L'ABRI,"Développement intellectuel, moral et physique des femmes et des jeunes filles par la création d'un centre d'activité amicale.",07/05/1925,04/05/1964,"24, rue des Arsins",76810,ROUEN
